ref,itemDescriptionEN,brand,nameEN,encodeNameEN,title,description,full_description
012418CC,Pro Redness Control Moisturizer Cream,Cetaphil,Redness & Rosacea,skin/moisturisers/redness-rosacea,Pro Redness Control Moisturizer Cream SPF30,"Pro redness control moisturizer cream spf30 helps reduce skin redness.   3 in 1: Hydration, photoprotection and with color to attenuate redness!   It masks the appearance of redness immediately and evens the tone of the skin.  Moisturizes,soothes and protects the skin from the sunlight due to its spf30.  With allantoin in the composition that has soothe property, dipotassium glycyrrhizate and caffeine that help keep the skin in good condition.  ","Cetaphil Pro Redness Control Moisturizer Cream Pro redness control moisturizer cream spf30 helps reduce skin redness.   3 in 1: Hydration, photoprotection and with color to attenuate redness!   It masks the appearance of redness immediately and evens the tone of the skin.  Moisturizes,soothes and protects the skin from the sunlight due to its spf30.  With allantoin in the composition that has soothe property, dipotassium glycyrrhizate and caffeine that help keep the skin in good condition.  "
006403RT,Retincare Aging and Photoaging ,Retincare,Anti-Ageing Global,skin/global-anti-aging/specific-moisturizers,Retincare Aging and Photoaging,"Retincare is adevice and it s intended for xerosis treatment(dryness extreme skin) as well as photoaging, which is caracterized by the appearance of deep wrinkles, uneven dark spots and loss of firmness.   Powerful treatmentfor treatment of xerosis andaging   It s composition and a 3,5 pH guarantees the ingredient smaximum action, makingthis a uniquetreatment for all these problems.  The airless packaging provides0.25 ml of product fon each impulse, allowing you to determine the required amount for your treatment. This not only makes application a lot safer, but avoid also product s waste.  Retincare contains:   	0.02% Retinoic Acid, which accelerates skin renewal, stimulates collagen synthesis and inhibits melanin production; 	4% Glycolic Acid,with both a high exfoliant capacity, and stimulation of collagen synthesis; 	0.2% Polyvinyl-A, that allows a prolonged release of the formula s active ingredients, reducing it ssensitizing potential   ","Retincare Retincare Aging and Photoaging  Retincare is adevice and it s intended for xerosis treatment(dryness extreme skin) as well as photoaging, which is caracterized by the appearance of deep wrinkles, uneven dark spots and loss of firmness.   Powerful treatmentfor treatment of xerosis andaging   It s composition and a 3,5 pH guarantees the ingredient smaximum action, makingthis a uniquetreatment for all these problems.  The airless packaging provides0.25 ml of product fon each impulse, allowing you to determine the required amount for your treatment. This not only makes application a lot safer, but avoid also product s waste.  Retincare contains:   	0.02% Retinoic Acid, which accelerates skin renewal, stimulates collagen synthesis and inhibits melanin production; 	4% Glycolic Acid,with both a high exfoliant capacity, and stimulation of collagen synthesis; 	0.2% Polyvinyl-A, that allows a prolonged release of the formula s active ingredients, reducing it ssensitizing potential   "
019372EK,Tinolvital Serum,Segle,Anti-Ageing Global,skin/global-anti-aging/seruns,Tinolvital Serum Global Antiaging,"Tinolvital Serum - Introducing the potent night serum infused with retinol, a formidable ally in the battle against all signs of aging!Reduces the wrinkles but also enhances skin firmness!It works wonders on pore refinement, leaving your skin noticeably softer, finer, and smoother. The exceptional renewal power of this serum further improves skin texture, offering remarkable rejuvenation.Perfect for those starting their retinol journey, this serum boasts a non-irritating formula suitable for all skin types, even the most sensitive. It's designed to combat premature aging, thanks to the protective properties of liposomal soy isoflavones, which shield cell DNA.With a 3% concentration of retinyl palmitate, this serum delivers the benefits of retinol with minimal skin irritation. It penetrates deeply, effectively combating the primary signs of aging, such as loss of firmness, blemishes, and dull skin tone. Notably, it also refines skin texture and is particularly effective for oily and acne-prone skin.Additionally, our serum features an active DNA cell protector, a biotechnological yeast and soy protein complex, guarding skin cell DNA to delay premature aging.Enhancing the depigmenting effect of retinol, Bellis Perennis</i> extract, a green biotechnological active ingredient, elevates skin luminosity and evens out skin tone.The formula is free from parabens.","Segle Tinolvital Serum Tinolvital Serum - Introducing the potent night serum infused with retinol, a formidable ally in the battle against all signs of aging!Reduces the wrinkles but also enhances skin firmness!It works wonders on pore refinement, leaving your skin noticeably softer, finer, and smoother. The exceptional renewal power of this serum further improves skin texture, offering remarkable rejuvenation.Perfect for those starting their retinol journey, this serum boasts a non-irritating formula suitable for all skin types, even the most sensitive. It's designed to combat premature aging, thanks to the protective properties of liposomal soy isoflavones, which shield cell DNA.With a 3% concentration of retinyl palmitate, this serum delivers the benefits of retinol with minimal skin irritation. It penetrates deeply, effectively combating the primary signs of aging, such as loss of firmness, blemishes, and dull skin tone. Notably, it also refines skin texture and is particularly effective for oily and acne-prone skin.Additionally, our serum features an active DNA cell protector, a biotechnological yeast and soy protein complex, guarding skin cell DNA to delay premature aging.Enhancing the depigmenting effect of retinol, Bellis Perennis</i> extract, a green biotechnological active ingredient, elevates skin luminosity and evens out skin tone.The formula is free from parabens."
022622QQ,Thickening Volume Shampoo,Bumble and bumble,Shampoo,hair/shampoo/volume,Thickening Volume Shampoo Lightweight,"Revitalize fine hair with Bumble and bumble Thickening Volume Shampoo. Lightweight cleansing for soft, moveable volume and build-up removal.Bigger Hair Starts Here—Lightweight Volume That Lasts!Key Benefits:Boosts Volume: Instantly uplifts fine, thin hair for a fuller, thicker look.Lightweight Hydration: Delivers soft, moveable volume without weighing hair down.Gentle Cleansing: Removes build-up while maintaining moisture.Color-Safe: Protects treated hair while enhancing texture and shine.Invigorating Scent: Fresh notes of lemon, bergamot, apple, and cedar uplift your senses.Perfect for fine to medium hair, Bumble and bumble Thickening Volume Shampoo transforms flat strands into voluminous, touchable hair.","Bumble and bumble Thickening Volume Shampoo Revitalize fine hair with Bumble and bumble Thickening Volume Shampoo. Lightweight cleansing for soft, moveable volume and build-up removal.Bigger Hair Starts Here—Lightweight Volume That Lasts!Key Benefits:Boosts Volume: Instantly uplifts fine, thin hair for a fuller, thicker look.Lightweight Hydration: Delivers soft, moveable volume without weighing hair down.Gentle Cleansing: Removes build-up while maintaining moisture.Color-Safe: Protects treated hair while enhancing texture and shine.Invigorating Scent: Fresh notes of lemon, bergamot, apple, and cedar uplift your senses.Perfect for fine to medium hair, Bumble and bumble Thickening Volume Shampoo transforms flat strands into voluminous, touchable hair."
015296BD,Photoderm SPF50+ light tinted Cream 40 mL,Bioderma,Normal Skin,sun-tan/face/normal-skin,Photoderm SPF50+ Facial Sunscreen Cream with Color,"The creamy texture of Photoderm SPF50+ Facial Sunscreen Cream with Color leaves the skin a sensation of extreme softness.   Facial sun protection spf 50+ with color  for normal to dry skin   Photoderm SPF50+ Facial Sunscreen Cream with Color:Rich texture, with color thatwhen applied, does not leave the skin with an oily feeling or with white markings.  Themaximum effectiveness and anti-UVB the incomparable performance anti-UVA of PhotodermCream with color protects safely against sunburn, sun intolerance reactions prevents and combats premature skin aging.  With color, can be used as makeup base.  A breakthrough against the risk of skin cell damage due to its exclusive SUN ACTIVE DEFENSE patent (Bioderma Patent) - the high-tech, enhanced sun protection against UVA rays.  ","Bioderma Photoderm SPF50+ light tinted Cream 40 mL The creamy texture of Photoderm SPF50+ Facial Sunscreen Cream with Color leaves the skin a sensation of extreme softness.   Facial sun protection spf 50+ with color  for normal to dry skin   Photoderm SPF50+ Facial Sunscreen Cream with Color:Rich texture, with color thatwhen applied, does not leave the skin with an oily feeling or with white markings.  Themaximum effectiveness and anti-UVB the incomparable performance anti-UVA of PhotodermCream with color protects safely against sunburn, sun intolerance reactions prevents and combats premature skin aging.  With color, can be used as makeup base.  A breakthrough against the risk of skin cell damage due to its exclusive SUN ACTIVE DEFENSE patent (Bioderma Patent) - the high-tech, enhanced sun protection against UVA rays.  "
012022BA,Motherprotect Nipple Protective Cream ,Barral,Breast-Feeding,mom-baby/after-birth/breast-feeding,Motherprotect Nipple Protective Cream,"The Motherprotect nipple protective cream is indicated for the nipple area, which tends to get cracksand to bedrier in the breastfeeding phase.  However, it can and should be used before childbirth too, in order to get ready for breastfeeding.   Protect, repair and regenerate nipples!   With 100% natural ingredients (lanolin, OLV pantrofine - ingredient derived from olive, vitamin E and canola oil), this cream has the following functions:   	<li class=""text-justify"">protect, moisturize and prevent dryness of the nipple; 	<li class=""text-justify"">regenerate the skin of the nipple and the cracks already formed; 	<li class=""text-justify"">relieve symptoms of irritation, itching and redness.   It s safe for mom and baby!  No parabens, additives, preservatives or fragrance!  ","Barral Motherprotect Nipple Protective Cream  The Motherprotect nipple protective cream is indicated for the nipple area, which tends to get cracksand to bedrier in the breastfeeding phase.  However, it can and should be used before childbirth too, in order to get ready for breastfeeding.   Protect, repair and regenerate nipples!   With 100% natural ingredients (lanolin, OLV pantrofine - ingredient derived from olive, vitamin E and canola oil), this cream has the following functions:   	<li class=""text-justify"">protect, moisturize and prevent dryness of the nipple; 	<li class=""text-justify"">regenerate the skin of the nipple and the cracks already formed; 	<li class=""text-justify"">relieve symptoms of irritation, itching and redness.   It s safe for mom and baby!  No parabens, additives, preservatives or fragrance!  "
018100HK,After Mask Sheet After Taking a Trip,Holika Holika,Tissue Masks,skin/masks-exfoliators/tissue-masks,After Mask Sheet After Taking a Trip,"After Mask Sheet After Taking A Trip is specially designed to alleviate puffiness and rejuvenate the skin after experiencing the effects of jet lag or other negative events.Brightens the skin and improves overall appearance!Contains carefully selected fruit extracts to provide a nourishing and pampering treatment for the skin. This mask not only enhances radiance but also relieves tension and detoxifies congested areas.With the help of powerful antioxidants from Orange Peel Extract, it brightens the skin and improves overall appearance. Within just 15 minutes, this illuminating mask leaves the skin feeling soft, smooth, and radiant, making it perfect for after a long day of travel or anytime the skin needs extra care.","Holika Holika After Mask Sheet After Taking a Trip After Mask Sheet After Taking A Trip is specially designed to alleviate puffiness and rejuvenate the skin after experiencing the effects of jet lag or other negative events.Brightens the skin and improves overall appearance!Contains carefully selected fruit extracts to provide a nourishing and pampering treatment for the skin. This mask not only enhances radiance but also relieves tension and detoxifies congested areas.With the help of powerful antioxidants from Orange Peel Extract, it brightens the skin and improves overall appearance. Within just 15 minutes, this illuminating mask leaves the skin feeling soft, smooth, and radiant, making it perfect for after a long day of travel or anytime the skin needs extra care."
005430AE,Breast Milk Storage Bag ,Avent,Breast Pumps,mom-baby/after-birth/breast-pumps,Breast Milk Storage Bag,"180ml bag, with double layer and reinforced seams.  For practical and safe storage of the precious breast milk.  They can be stored in the refrigerator or freezer and are pre-sterilized for immediate use.   The best protection for breast milk ❤   The robust design of this bag allows it to remain standing for easy storage in the freezer or fridge.  Wide opening that allowseasyfilling and emptying. Double lock leak and handling-proof to complete hygiene.  ","Avent Breast Milk Storage Bag  180ml bag, with double layer and reinforced seams.  For practical and safe storage of the precious breast milk.  They can be stored in the refrigerator or freezer and are pre-sterilized for immediate use.   The best protection for breast milk ❤   The robust design of this bag allows it to remain standing for easy storage in the freezer or fridge.  Wide opening that allowseasyfilling and emptying. Double lock leak and handling-proof to complete hygiene.  "
008921YS,La Nuit de L'Homme Eau de Toilette ,Yves Saint Laurent,Fragrances,men/perfumes/fragrances,La Nuit de L'Homme Eau de Toilette Men,"For the man who reveals his sensuality when the night falls...  La nuit de l homme eau de toilette for men is a mysterious and woody fragrance; which is capable of emanating a powerful aura of seduction!   <p class=""text-center"" style=""margin-left:40px"">Feel powerful until dawn!   With cardamom, fava tonkaand cedar wood, for the captivating and conquering men, who knows what he wants!","Yves Saint Laurent La Nuit de L'Homme Eau de Toilette  For the man who reveals his sensuality when the night falls...  La nuit de l homme eau de toilette for men is a mysterious and woody fragrance; which is capable of emanating a powerful aura of seduction!   <p class=""text-center"" style=""margin-left:40px"">Feel powerful until dawn!   With cardamom, fava tonkaand cedar wood, for the captivating and conquering men, who knows what he wants!"
001765RF,Volumea Volumising Foam ,Rene Furterer,Volume,hair/seruns-leave-in/volume,Volumea Volumising Foam for Fine Hair,"VolumeaFoam without Rinse: the softness of a volumizing foam, combined with flexibilityand light fixation.  A Rene Furterer carewith anti-static effect for a controled volume.   Gives volume and flexibility to your hair   Volumea foam, operates in fine hair to give a controlled volume effect.  The hair becomes soft and shiny, with great volume!","Rene Furterer Volumea Volumising Foam  VolumeaFoam without Rinse: the softness of a volumizing foam, combined with flexibilityand light fixation.  A Rene Furterer carewith anti-static effect for a controled volume.   Gives volume and flexibility to your hair   Volumea foam, operates in fine hair to give a controlled volume effect.  The hair becomes soft and shiny, with great volume!"
007586SE,Seskavel Repair Keratin Mask for Damaged Hair ,Sesderma,Masks,hair/damaged-hair/masks,Seskavel Repair Keratin Mask for Damaged Hair,"The hair that is dry and damaged at it s length tend to become frizzy, dull and rough; and these features give itan unhealthy aspect.  To counter all these signs of hair damage, Sesderma developed the Seskavel repair keratin mask for damaged hair; whichs rebuilds and repairs the hair fiber.   Let your hair shine!   This mask owes shouldrestructuring action tokeratin and also a complex of amino acids; that bind to the cuticle damage repairing the damagedsites. Additionally, the silk proteins protectthe fiber and theargan oil nourishes your hair.","Sesderma Seskavel Repair Keratin Mask for Damaged Hair  The hair that is dry and damaged at it s length tend to become frizzy, dull and rough; and these features give itan unhealthy aspect.  To counter all these signs of hair damage, Sesderma developed the Seskavel repair keratin mask for damaged hair; whichs rebuilds and repairs the hair fiber.   Let your hair shine!   This mask owes shouldrestructuring action tokeratin and also a complex of amino acids; that bind to the cuticle damage repairing the damagedsites. Additionally, the silk proteins protectthe fiber and theargan oil nourishes your hair."
024436C3,Greek Yoghurt Probiotic Face Mask,Korres,Moisturizing Masks,skin/masks-exfoliators/moisturizing-masks,Greek Yoghurt Probiotic SuperDose Face Mask,"Reset your skin in 10 minutes with Korres Greek Yoghurt Probiotic SuperDose Face Mask—intense hydration, redness reduction, and microbiome balance in one luxe treatment.Reset, Refresh, Radiate!Key Benefits:Recovers and rebalances skinReplenishes intense hydrationReduces rednessActive Ingredients:Greek Yoghurt: Delivers instant cooling with a super-dose of pre- and probiotics.Microbiome Technology: Rebalances skin and boosts a healthy glow.Powered by ancient skin superfoods, Korres Greek Yoghurt Probiotic SuperDose Face Mask provides a cooling recharge for dehydrated, dull, and stressed skin, making it an essential ritual for a luminous complexion.","Korres Greek Yoghurt Probiotic Face Mask Reset your skin in 10 minutes with Korres Greek Yoghurt Probiotic SuperDose Face Mask—intense hydration, redness reduction, and microbiome balance in one luxe treatment.Reset, Refresh, Radiate!Key Benefits:Recovers and rebalances skinReplenishes intense hydrationReduces rednessActive Ingredients:Greek Yoghurt: Delivers instant cooling with a super-dose of pre- and probiotics.Microbiome Technology: Rebalances skin and boosts a healthy glow.Powered by ancient skin superfoods, Korres Greek Yoghurt Probiotic SuperDose Face Mask provides a cooling recharge for dehydrated, dull, and stressed skin, making it an essential ritual for a luminous complexion."
014865II,Baked Quattro Eyeshadow,Sensilis,Eye Shadow,makeup/eyes-brows/eye-shadow,Baked Quattro Eyeshadow,"Baked Quattro is a palette of shadows that enhances and intensifies the look.     From a natural to intense look!   Optimized formula that combines an exceptional concentration of pigments with a smooth texture for easy application and to maximize color expression.  With 4 shades, matts and luminous, the palette allows you to draw a natural or intense look, almond or smoky.","Sensilis Baked Quattro Eyeshadow Baked Quattro is a palette of shadows that enhances and intensifies the look.     From a natural to intense look!   Optimized formula that combines an exceptional concentration of pigments with a smooth texture for easy application and to maximize color expression.  With 4 shades, matts and luminous, the palette allows you to draw a natural or intense look, almond or smoky."
004132BZ,Day Control Deodorant Stick ,Biotherm Homme,Deodorants & Antiperspirants,men/body/deodorants-antiperspirants,Day Control Deodorant Stick,Day Control Deodorant Stick   Double action: antiperspirant and deodorant!   Effectively fightssweating and unpleasant odors. Protection of the skin.  Smooth and light feel to the touch.Alcohol free.,Biotherm Homme Day Control Deodorant Stick  Day Control Deodorant Stick   Double action: antiperspirant and deodorant!   Effectively fightssweating and unpleasant odors. Protection of the skin.  Smooth and light feel to the touch.Alcohol free.
010845GL,Crème de Beauté Cleansing Cream ,Guerlain,Cleansers & Tonics,skin/cleansers-tonners,Crème de Beauté Cleansing Cream,"Cr&egrave;me de beaut&eacute; cleansing cream removes gently makeup in a luxurious and unique sensory moment!   Face cleansed in a luxurious and unique sensory moment!   Recommended for all skin types, this cream offers a moment of unique pleasure.  The rich and generous texture of this cream, is approaching a balm, leaving the skin clean and comfortable.  The unique fragrance with notes of white tea, jasmine and musk provides the final touch in an unique momento of pleasure!  ","Guerlain Crème de Beauté Cleansing Cream  Cr&egrave;me de beaut&eacute; cleansing cream removes gently makeup in a luxurious and unique sensory moment!   Face cleansed in a luxurious and unique sensory moment!   Recommended for all skin types, this cream offers a moment of unique pleasure.  The rich and generous texture of this cream, is approaching a balm, leaving the skin clean and comfortable.  The unique fragrance with notes of white tea, jasmine and musk provides the final touch in an unique momento of pleasure!  "
