predicted_category,raw_response,model_used,usage,status,latency,exact_match,partial_match,used_fallback,true_category,product_description,prompt_name,model,from_cache,timestamp,langsmith_enabled,mandatory_output
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 4175, 'total_tokens': 4675, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,7.33954119682312,False,False,True,sun-tan/body/normal-skin,"Riemann-P20 Solar Original Spray-Experience unparalleled sun protection with Riemann P20 Solar Original Spray – a breakthrough in eco-friendly, high-performance sunscreen.Embrace the Sun, Respect the ",prompt_reason_04,o3-mini,False,2025-08-06T16:44:18.358916,True,True
makeup/eyes-brows/eyeliners-pencil,makeup/eyes-brows/eyeliners-pencil,o3-mini-2025-01-31,"{'completion_tokens': 152, 'prompt_tokens': 4065, 'total_tokens': 4217, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 128, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,2.908031702041626,True,True,False,makeup/eyes-brows/eyeliners-pencil,Clinique-High Impact Gel Tech Eyeliner-Introducing the High Impact Gel Tech Eyeliner – a high-performance eyeliner that's gentle on your eyes.Achieve a deep black shade that won't fade throughout the ,prompt_reason_04,o3-mini,False,2025-08-06T16:44:23.288139,True,True
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 4209, 'total_tokens': 4709, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,5.466108322143555,False,True,True,skin/beauty-tech,"Geske-Lip Volumizer and Booster 4 in 1-Achieve fuller lips instantly with the Lip Volumizer and Booster 4 in 1, your beauty companion for targeted lip volumizing.Delivers instantaneous results for you",prompt_reason_04,o3-mini,False,2025-08-06T16:44:30.775164,True,True
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 4085, 'total_tokens': 4585, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,7.727940320968628,False,True,True,skin/first-signs-age/seruns,"The Ordinary-Multi-Peptide + Copper Peptides 1%-Multi-Peptide + Copper Peptides 1% serum is a light, water-based antioxidant serum for the skin.Advanced age serum!A comprehensive formula that combines",prompt_reason_04,o3-mini,False,2025-08-06T16:44:40.519534,True,True
sun-tan/self-tanning,sun-tan/self-tanning,o3-mini-2025-01-31,"{'completion_tokens': 211, 'prompt_tokens': 4057, 'total_tokens': 4268, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 192, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,3.1979520320892334,True,True,False,sun-tan/self-tanning,Institut Esthederm-Reflets de Soleil-Reflets de Soleil Hydra-Boost Self-Tanning Cream-Gel is a light and ultra sensorial self-tanner.Provides a natural tan!This formulation has a Patented Eau Cellulla,prompt_reason_04,o3-mini,False,2025-08-06T16:44:45.729706,True,True
hair/shampoo,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 4079, 'total_tokens': 4579, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,6.252989053726196,False,True,True,hair/hair-loss/shampoo,Kerastase-Specifique Bain Prevention Shampoo -Bain Prevention a shampoo that prepares your scalp for a fall-arrest treatment!   Take care of your hair and your scalp at the same time!    Bain Pr&eacut,prompt_reason_04,o3-mini,False,2025-08-06T16:44:53.997683,True,True
hair/hair-mask/volume,hair/hair-mask/volume,o3-mini-2025-01-31,"{'completion_tokens': 211, 'prompt_tokens': 4019, 'total_tokens': 4230, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 192, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,3.562420606613159,False,True,False,hair/hair-loss/masks,"New Nordic-Hair Volume Repair Mask -Hair Volume Repair Mask features  restorative properties for damaged hair.   Strong &amp; healthy hair!   Theformulation presents apple, coconut and hydrolyzed rice",prompt_reason_04,o3-mini,False,2025-08-06T16:44:59.573015,True,True
hair/shampoo,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 4030, 'total_tokens': 4530, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,5.9779510498046875,False,True,True,hair/hair-loss/shampoo,Elvive-Elvive Full Resist Fortifying Shampoo -Elvive full resist fortifying shampoo for fragile hairprolongs hair health for a stronger and more resistant fiber!   Stronger and more resistanthair!   I,prompt_reason_04,o3-mini,False,2025-08-06T16:45:07.574536,True,True
makeup/lips/lipgloss,makeup/lips/lipgloss,o3-mini-2025-01-31,"{'completion_tokens': 85, 'prompt_tokens': 4074, 'total_tokens': 4159, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 64, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,2.454568862915039,True,True,False,makeup/lips/lipgloss,"Dermacol-Lip Up Plumping Lip Gloss-Introducing Lip Up Plumping Lip Gloss, a luxurious collection that includes a transparent option and vibrant colors.Glosses that enhance, moisturize, and can even vo",prompt_reason_04,o3-mini,False,2025-08-06T16:45:12.056295,True,True
hair/curly-hair/seruns-leave-in,hair/curly-hair/seruns-leave-in,o3-mini-2025-01-31,"{'completion_tokens': 345, 'prompt_tokens': 4170, 'total_tokens': 4515, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 320, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,4.419701337814331,False,True,False,hair/dry-damaged-hair/seruns-leave-in,"Schwarzkopf-BONACURE Moisture Kick Curl Bounce Leave-In-Define, hydrate, and revive your curls for up to 48 hours with Schwarzkopf BONACURE Clean Performance Moisture Kick Curl Bounce Leave-In – the u",prompt_reason_04,o3-mini,False,2025-08-06T16:45:18.498597,True,True
