predicted_category,confidence,raw_response,tokens_used,model_used,timestamp,status,concatenated_product,true_category,exact_match,partial_match,prompt_name
sun-tan/face/oily-combination-skin,unknown,sun-tan/face/oily-combination-skin,5309,gpt-4o-mini-2024-07-18,2025-08-05T09:12:28.127111,success,"Sesderma-Repaskin Urban 365 Oily Skin Sunscreen-Unveil the secret to flawless, protected skin with Repaskin Urban 365 Sunscreen for Oily Skin â your shield against the sun, pollution, and imperfections.Embrace Radiance, Embrace Protection!Key Benefits:<ol>High SPF50 Protection: Shields against harmful UVB/UVA/IR rays.Non-Comedogenic: Ideal for oily and acne-prone skin without clogging pores.Blue Light Protection: Defends against digital screen exposure.Anti-Pollution: Guards against environmental stressors.Water-Resistant: Long-lasting protection.Eye-Friendly Formula: Gentle and non-irritating.Marine Ecosystem Tested: Eco-conscious and safe for marine life.Quick Absorption with Matte Finish: Ultralight texture for a non-greasy, shine-free look.</ol>Active Ingredients: A fusion of physical and chemical filters, restorative enzymes, antioxidants like Polypodium leucotomos</i> and Thermus thermofillus</i>, plus niacinamide and salicylic acid.Repaskin Urban 365 Sunscreen is more than just a sunscreen; it's a daily defense system for your skin. Perfect for all skin types and especially for those with oily, acne-prone skin, this sunscreen offers an ultralight, matte finish without leaving any white residue. Powered by SHIELD-SYSTEM technology, it not only protects but also repairs skin from sun damage, preventing wrinkles and fine lines. Eco-friendly packaging and marine-safe formulas make Repaskin a conscientious choice for the environment-savvy. Step out confidently every day of the year with Repaskin â your ultimate companion for skin protection and perfection!",sun-tan/face/combination-to-oily-skin,False,True,prompt_HCP_02
skin/seruns/oiliness-acne-pores,unknown,skin/seruns/oiliness-acne-pores,5071,gpt-4o-mini-2024-07-18,2025-08-05T09:12:30.177320,success,"Eucerin-Dermopure Oil Control Adjunctive Soothing Cream -Dermopure oil control adjunctive soothing cream is a complementary restorative care to acne treatments.   Strengthens the skin!   Formulated with symsitive&reg;, licochalcone A, ceramides and panthenol with a soothing, restorative, fortifying and moisturizingskin action.  Attenuates the side effects caused by acne treatments, favoring adherence to therapy, stimulating skin regeneration.  Ideal for acne-prone skin.",skin/moisturisers/oiliness-acne-pores,False,True,prompt_HCP_02
men/perfumes,unknown,men/perfumes,5070,gpt-4o-mini-2024-07-18,2025-08-05T09:12:32.020769,success,"Zadig Voltaire-This Is Him! Eau de Toilette -This is Him!a spicy oriental aroma associated with sandalwood, Zadig &amp; Voltaire signature.Manly, wild and free!For the man with rocker features but, a gentleman in his essence.This is Him! integrates the two facets of this man into one fragrance that evokes virility and freedom in the spontaneity of his personality.This fragrance was launched simultaneously with This is Her! for a woman who doesn't mind standing out in the crowd.Together, they create a pair in full harmony.",men/perfumes/fragrances,False,True,prompt_HCP_02
health-care/diapers-incontinence,unknown,health-care/diapers-incontinence,5128,gpt-4o-mini-2024-07-18,2025-08-05T09:12:33.854470,success,"Tena-Pants Plus -  Suitable for moderate to severe incontinence, TENA Pants Plus provide enhanced protection when the need of your loved one is slightly larger.  With ConfioFit, gets a thin protection with anatomical format which also ensures great comfort and discretion.   100% breathable, are a great choice for a good skin health.   It s soft and discrete as underwear.  The Odour Neutralizer minimizes the ammoniaodor, giving a fresh and dignityfeeling.  Protection against TENA Pants incontinence is so easy to remove as is is to wear. Just tear the side seams and remove theunderwear.  Within each degree of absorption, the size should be chosen according to the diameter of the waist of the person will use. Use the correct size is important for the underwear is well adjusted to the body.",health-care/diapers-incontinence,True,True,prompt_HCP_02
men/skin/cleansers-tonners,unknown,men/skin/cleansers-tonners,5122,gpt-4o-mini-2024-07-18,2025-08-05T09:12:35.659332,success,"Uppercut-Exfoliating Cleanser-Exfoliating Cleanser is expertly crafted to provide a gentle yet thorough cleanse, preparing the skin for an impeccably close shave.Refreshes the skin, while its exfoliating properties ensure an exceptionally close shave without drying the skin!Infused with Ground Pumice for exfoliation and Charcoal for detoxification, this daily-use cleanser promotes clean and blemish-free skin, suitable for all skin types. It features a soothing complex that refreshes and cools the skin, while its exfoliating properties help lift facial hair, ensuring an exceptionally close shave without drying the skin. The delightful fragrance combines Cyprus and Cedar notes.With beneficial ingredients like Activated Charcoal, Ground Pumice, Chamomile Extract, and Green Tea Extract, this cleanser offers a comprehensive grooming solution.",men/skin/cleansers-tonners,True,True,prompt_HCP_02
men/skin/global-anti-aging/seruns,unknown,men/skin/global-anti-aging/seruns,5206,gpt-4o-mini-2024-07-18,2025-08-05T09:12:37.427192,success,"Collistar-Uomo Anti-Age Energizing Cream-Gel -Uomo Anti-Age Energizing Gel-Cream,an innovative face treatment developed specifically for male skin, now with a new formula for even more effective resulatdos.   More cleanand even more effective!   The main active ingredient is Meristematic Cellsof the Sequoia* immune system. These have the ability to revitalize and stimulate skin cell activity. It also contains Extract of Italian Pomegranate, a powerful antioxidant that fights free radicals and an Energizing Active Ingredientthat improves the firmness, energy and vitality of the skin.  With a light and fresh texture, easily absorbed, this treatment has viable results:  <div>â Skin firmer, hydrated and revitalized</div>  <div>â Wrinkles minimized</div>  <div>â More evenly and noticeably healthier skin</div>    Silicon-Free, No Animal Ingredients, Alcohol-Free and microplastics-free.  Dermatologically tested on sensitive skin.    *SUSTAINABILITY: A small amount of plant tissue is enough to produce an entire chain of cells in vitro, saving energy, soil and water.",men/skin/first-signs-age,False,True,prompt_HCP_02
skin/masks-exfoliators,unknown,skin/masks-exfoliators,5106,gpt-4o-mini-2024-07-18,2025-08-05T09:12:39.190944,success,"Holika Holika-After Mask Sheet After Taking a Trip-After Mask Sheet After Taking A Trip is specially designed to alleviate puffiness and rejuvenate the skin after experiencing the effects of jet lag or other negative events.Brightens the skin and improves overall appearance!Contains carefully selected fruit extracts to provide a nourishing and pampering treatment for the skin. This mask not only enhances radiance but also relieves tension and detoxifies congested areas.With the help of powerful antioxidants from Orange Peel Extract, it brightens the skin and improves overall appearance. Within just 15 minutes, this illuminating mask leaves the skin feeling soft, smooth, and radiant, making it perfect for after a long day of travel or anytime the skin needs extra care.",skin/masks-exfoliators/tissue-masks,False,True,prompt_HCP_02
body/moisturisers,unknown,body/moisturisers,5093,gpt-4o-mini-2024-07-18,2025-08-05T09:12:41.416961,success,"Roger Gallet-Rose Wellbeing Body Lotion -Rose Wellbeing Body Lotionis a body milk that soothes and nourishes dry and sensitive skin.   Leaves the skin incredibly soft and deliciously fragrant!   The Rose body milk invites you to an intimate moment of softness.  Enriched with natural rose essential oil with relaxing virtues and shea butter, it nourishes the skin and provides 24-hour hydration.  Its light texture is absorbed instantly and leaves your skin moisturized and deliciously scented with the velvety fresh notes of Rose.  The carnal tenderness of the petals of the Damascene Rose that spreads relentlessly over the skin like a balm of softness.",fragrance/fragranced-moisturizers,False,False,prompt_HCP_02
men/perfumes,unknown,men/perfumes,5063,gpt-4o-mini-2024-07-18,2025-08-05T09:12:43.155104,success,"Yves Saint Laurent-La Nuit de L'Homme Eau de Toilette -For the man who reveals his sensuality when the night falls...  La nuit de l homme eau de toilette for men is a mysterious and woody fragrance; which is capable of emanating a powerful aura of seduction!   <p class=""text-center"" style=""margin-left:40px"">Feel powerful until dawn!   With cardamom, fava tonkaand cedar wood, for the captivating and conquering men, who knows what he wants!",men/perfumes/fragrances,False,True,prompt_HCP_02
hair/styling,unknown,hair/styling,5044,gpt-4o-mini-2024-07-18,2025-08-05T09:12:44.980719,success,"Rene Furterer-Volumea Volumising Foam -VolumeaFoam without Rinse: the softness of a volumizing foam, combined with flexibilityand light fixation.  A Rene Furterer carewith anti-static effect for a controled volume.   Gives volume and flexibility to your hair   Volumea foam, operates in fine hair to give a controlled volume effect.  The hair becomes soft and shiny, with great volume!",hair/seruns-leave-in/volume,False,True,prompt_HCP_02
hair/damaged-hair/masks,unknown,hair/damaged-hair/masks,5096,gpt-4o-mini-2024-07-18,2025-08-05T09:12:46.778282,success,"Sesderma-Seskavel Repair Keratin Mask for Damaged Hair -The hair that is dry and damaged at it s length tend to become frizzy, dull and rough; and these features give itan unhealthy aspect.  To counter all these signs of hair damage, Sesderma developed the Seskavel repair keratin mask for damaged hair; whichs rebuilds and repairs the hair fiber.   Let your hair shine!   This mask owes shouldrestructuring action tokeratin and also a complex of amino acids; that bind to the cuticle damage repairing the damagedsites. Additionally, the silk proteins protectthe fiber and theargan oil nourishes your hair.",hair/damaged-hair/masks,True,True,prompt_HCP_02
makeup/lips/lipliners,unknown,makeup/lips/lipliners,5088,gpt-4o-mini-2024-07-18,2025-08-05T09:12:49.733043,success,"LA Girl-Hold It in-Prevent lipstick feathering and fine lines with Hold It In reverse lip liner.Keep your lip color in check! The secret to longer-lasting, flawless lips!Key benefits:Transparent lip primer prevents lipstick from feathering and settling into fine lines;Smooth, creamy texture extends the wear of your lip color;Acts as a transparent lip primer with excellent adhesion to the skin;Composition melts and protects your lips for greater comfort;Vegan and free from fragrance and parabens for sensitive lips.Keep your lip color in check with Hold It In reverse lip liner â the key to picture-perfect lips, every time.",makeup/lips/lipliners,True,True,prompt_HCP_02
makeup/eyes-brows/eye-shadow,unknown,makeup/eyes-brows/eye-shadow,5045,gpt-4o-mini-2024-07-18,2025-08-05T09:12:51.534395,success,"Sensilis-Baked Quattro Eyeshadow-Baked Quattro is a palette of shadows that enhances and intensifies the look.     From a natural to intense look!   Optimized formula that combines an exceptional concentration of pigments with a smooth texture for easy application and to maximize color expression.  With 4 shades, matts and luminous, the palette allows you to draw a natural or intense look, almond or smoky.",makeup/eyes-brows/eye-shadow,True,True,prompt_HCP_02
men/body/deodorants-antiperspirants,unknown,men/body/deodorants-antiperspirants,5148,gpt-4o-mini-2024-07-18,2025-08-05T09:12:53.307974,success,"Collistar-Uomo Freshness Deo 48 Hrs Spray-Experience lasting freshness with the Collistar Uomo Freshness Deo 48 Hrs Spray. This no-gas, antiperspirant spray is formulated for effective all-day protection, keeping you feeling fresh and revitalized for up to 48 hours. Infused with distilled Italian Bergamot water, it provides an instant boost of energy and vitality.Stay fresh, energized, and confident for 48 hours!Key Benefits:Long-lasting 48-hour deodorizing action;Light, non-greasy formula that dries instantly;Designed to minimize marks and stains on fabrics;Practical spray for even, easy distribution;Fresh scent with a revitalizing boost from Italian Bergamot.Stay fresh and confident all day long with Collistar Uomo Freshness Deo 48 Hrs Spray that offers powerful protection and a refreshing sensation without leaving marks. Ideal for active men seeking both practicality and effectiveness.",men/body/deodorants-antiperspirants,True,True,prompt_HCP_02
skin/global-anti-aging,unknown,skin/global-anti-aging,5194,gpt-4o-mini-2024-07-18,2025-08-05T09:12:54.986903,success,"Isdin-Fotoultra Fusion Water Magic Repair-The innovativeISDIN FusionWatertextureis now also available in an anti-ageingformulation!  The Fotoultra age repair spf50 is a sunscreen that was specially formulated for the face area, thus providing atriple action against photoaging.   Protects, repairs and reverses the signs of photoaging skin; leaving your skin with a silky matte finish!    	PROTECTION   In addition to theUVB/UVAfilters, this product is also able to protect the skin from visible and infrared radiation; thus preventing the damage cause byall these radiations onskin cells.   	REPAIR   The DNA Repairsomes at on the damage caused in the cellular DNA, thus preventing it s accumulation.   	REVERSE   This sunscreen is able to correct the visible signs of photoaging thanks to the association of Li-Q10 (stimulation of Q10 coenzimesynthesis), Collagen Booster Peptide (stimulation of collagen synthesis) and hyaluronic acid (improves skin elasticity thanks toit smoisturizing action).  Doesn  sting on the eyes.  Suitable for sensitive skin.  Biodegradable formula.",sun-tan/face/lightness-anti-spots,False,False,prompt_HCP_02
men/body/deodorants,unknown,men/body/deodorants,5060,gpt-4o-mini-2024-07-18,2025-08-05T09:12:56.632470,success,"Eisenberg-J'Ose Stick Deodorant Man -J ose stick deodorant leaves the skin of the armpits soft and smooth, while eliminating bad odors and leaves the skin scented.   Say goodbye to bad odors all day long!   It can be used after hair removal. It does not contain alcohol or aluminum salts.  After the first application, the development of bacteria responsible for bad odors decreases and after oneweek of use, the deodorizingproperties and antibacterial effectiveness are heightened.  Hypoallergenic.",men/perfumes/deodorants,False,True,prompt_HCP_02
makeup/complexion/accessories-brushes,unknown,makeup/complexion/accessories-brushes,5117,gpt-4o-mini-2024-07-18,2025-08-05T09:12:58.469244,success,"Shiseido-Daiya Fude Face Duo-On one side,a round tip that mimics the texture of your fingers. On the other side, a brush of synthetic bristles in adiamond shape, whichadapts perfectly to your facecontours.  The Daiya fude face duoadapts to all kinds of textures, such aspowders, creams, gels or liquids.   The perfect accessory for a flawless makeup.   Unlike traditional sponges, the round brush tip is made ofpolyurethane and does not absorb the product applied; ensuring a pigmented finish. Also the red brush contains densely packed bristles; providing a perfect balance between firmness and flexibility.  Being handcrafted by Japanese specialized artesians, Shisieido brushes ensure a superior quality.",makeup/complexion/accessories-brushes,True,True,prompt_HCP_02
sun-tan/after-sun,unknown,sun-tan/after-sun,5063,gpt-4o-mini-2024-07-18,2025-08-05T09:13:00.235708,success,"Isdin-Post-Solar After Sun Lotion Soothing and Refreshing -The refreshing action frommenthol joins soothing power of chamomile and allantoin, creating a single after-sun care!  The Post-solar after sun lotion soothing and refreshing allows to restore skin hydration after sun exposure, leaving it soft and prolonging your tan!   Skin repairingandredness prevention for a luminous and uniform tan!   The nutritious formulaprevents flaking that often follows sun exposure, leaving your skin perfectly moisturized.",sun-tan/after-sun,True,True,prompt_HCP_02
health-care/oral-health/toothpaste,unknown,health-care/oral-health/toothpaste,5075,gpt-4o-mini-2024-07-18,2025-08-05T09:13:01.968489,success,"GUM-Easy-Flossers Dental Floss-Acess Floss Dental Floss is designed for use in difficult-to-reach areas such as under and around crowns, bridges, implants, and wide interdental spaces.Effectively removes plaque and debris without irritating the gums!This dental floss expands to fit different interdental space sizes, allowing for greater contact with the tooth surface. Its rigid tips make it easy to insert into narrow spaces and hard-to-reach areas, and it effectively removes plaque and debris without irritating the gums.Use it with ease and enjoy a thorough cleaning.",health-care/oral-health/toothbrushes-accessories,False,True,prompt_HCP_02
skin/cleansers-tonners,unknown,skin/cleansers-tonners,5177,gpt-4o-mini-2024-07-18,2025-08-05T09:13:03.696779,success,"Skinceuticals-Equalizing Toner Pore-Refining Toner -This astringent tonic that reduces pores, helps establish the equilibrium of the skin, gives sensation of freshness and restructures the skin s pH hidrolipidic.  The presence of AHA s, helps to exfoliate dead skin cells while botanical extracts such as Witch Hazel, Rosemary, Aloe Vera, Chamomile, soften and tone the skin.  This tonic, perfume and alcohol-free, oil free texture, contains anti-bacterial, anti-fungal and anti-inflammatory properties.   	AHA- Exfoliating action; 	Aloe Vera- Soothing action.    Balances and restores the skin s protective ph layer   A proper cleaning of the skin, carries numerous benefits besides the welfare and the sensation of purity.  Cleansing the skin, controls excess oils, promotes hydration, provides a greater permeability and cutaneous penetration, removes dead cells and thins the skin grain.  To this propose ,SkinCeuticalsdeveloped cleaning care, which enhanceantioxidantand corrective care.",skin/cleansers-tonners/normal-skin,False,True,prompt_HCP_02
supplements-vitamins/bones-joints,unknown,supplements-vitamins/bones-joints,5152,gpt-4o-mini-2024-07-18,2025-08-05T09:13:05.406829,success,"Aquilea-Joints Strong Powder -Aquilea Joints Strong powder is a food supplement based on collagen, glucosamine, chondroitin, turmeric, hyaluronic acid and vitamin C that helps strengthen joints and increase flexibility. Orange flavor.   More flexible and pain-less joints!    	Collagen,a protein that naturally exists in cartilage, bones and skin and is essential for the structure and functioning of joints 	Glucosamine, a substance that is naturally found in the body and is involved in the formation of ligaments, tendons and cartilages 	Ndroitin,a substance found in the cartilages around the joints 	Turmeric helps maintain joint flexibility and well-being, as well as good mobility 	Hyaluronic Acid, an essential component that is found in a natural way in joints and cartilages 	Vitamin C contributes to the normal formation of collagen and the normal functioning of cartilage, bones and skin",supplements-vitamins/bones-joints,True,True,prompt_HCP_02
hair/styling,unknown,hair/styling,5033,gpt-4o-mini-2024-07-18,2025-08-05T09:13:07.040576,success,"Reuzel-Grooming Tonic -Reuzel Grooming Tonic is a tonic that gives volume and a natural appearance to the hair.   Ideal for styling of fine hair!   This spray heat protector is ideal for supporting and controlling without weighing for thin hair.  Suitable for all types of thermal styling, this treatment is perfect for creating volume, elevating or texture.",men/hair/styling,False,False,prompt_HCP_02
hair/conditioner,unknown,hair/conditioner,5102,gpt-4o-mini-2024-07-18,2025-08-05T09:13:08.674609,success,"Garnier-Fructis Hair Food Conditioner Pineapple-Elevate your hair care routine with Fructis Hair Food Conditioner Pineapple â a vegan formula with 97% natural ingredients.Immerse your hair in intense nourishment and healthiness!Advantages:Vegan formula with 97% natural ingredients;98% biodegradable with ecological pineapple;Intensely nourished and healthy hair;Detangles and strengthens;Fast-rinsing for a quick and easy routine;Anti-breakage benefits;Silicone-free for a natural feel.Fructis Hair Food Conditioner Pineapple is your ticket to naturally beautiful hair. Detangle and strengthen your hair effortlessly with a fast-rinsing, silicone-free formula that promotes anti-breakage benefits.",hair/contitioner/dry-to-very-dry-hair,False,True,prompt_HCP_02
body/bath-shower,unknown,body/bath-shower,5128,gpt-4o-mini-2024-07-18,2025-08-05T09:13:10.427739,success,"Clarins-Tonic Bath Bath & Shower Concentrate-Bain aux Plantes ""Tonic"" is a cleansing care that stimulates body and mind and gives an enormous feeling of well-being thanks to the scent of essential oils associated with the principle of aromatherapy.It tones and revitalizes the skin!In this cleansing treatment, Clarins Aroma expertise was associated with essential oils of wild mint, organic aromatic geranium, rosemary and organic soapy extract that naturally foams. In contact with water, its gel texture transforms into foam to gently cleanse the skin in the bath or shower, toning the skin and the spirit.Under the effect of heat, it releases aromatic toning vapors, providing a moment of well-being, to feel like in a spa.98% ingredients of natural origin.For adult use only.The bottle is refillable thanks to eco-recharge.",body/bath-shower,True,True,prompt_HCP_02
hair/anti-dandruff/shampoo,unknown,hair/anti-dandruff/shampoo,5186,gpt-4o-mini-2024-07-18,2025-08-05T09:13:12.089460,success,"Ioox-Keto Plus Shampoo-Transform your hair care routine with Ioox Keto Plus Shampoo, the ultimate solution for oily dandruff and excess sebum.Cleanse, Balance, RenewâExperience Scalp PerfectionKey Benefits:Eliminates oily dandruff and excess sebumCleanses and exfoliates the scalpReduces inflammation and itchinessPromotes healthy cell renewalProvides astringent and antiseptic propertiesActive Ingredients:Salicylic acid: Cleanses, exfoliates, and renews cellsPiroctone olamine: Anti-dandruff, inhibits fungal growthIchthyol pale: Reduces inflammation and regulates sebumEssence of salvia: Astringent and antiseptic propertiesIoox Keto Plus Shampoo is a must-have for anyone dealing with oily dandruff and excess sebum. This groundbreaking formula, enriched with salicylic acid, piroctone olamine, ichthyol pale, and essence of salvia, offers comprehensive scalp care by eliminating dandruff, reducing inflammation, and regulating oil production. Enjoy a refreshed, balanced, and healthier scalp with each wash.",hair/shampoo/oily-hair,False,True,prompt_HCP_02
skin/eye-care/sensitive-intolerant-skin,unknown,skin/eye-care/sensitive-intolerant-skin,5165,gpt-4o-mini-2024-07-18,2025-08-05T09:13:14.035491,success,"La Roche Posay-Toleriane Dermallergo Eye Contour -Toleriane dermallergo eye contouris suitable for sensitive eyes, with redness, itching, and swelling, and discomfortsensation.  This moisturizer and ultra-soothing cream, reduces the swelling and discomfort, while the thermal water in its formulation soothes and protects the sensitive skin around the eyes.  The hermetically sealed packaging ensures a pure formulawith a high tolerance, since it doesn t have preservatives, parabens, perfume, alcohol, dyes or lanolin.   Day after day, reduces the sensitivity   Tol&eacute;riane s line from La Roche Posayfor allages,is composed by high tolerance products formulated with the minimum number of ingredients in order to reduce the risk of allergies. Extreme, instant and long-lastingcomfort, for alldamaged, irritated, sensitive skins, assaulted byaggressive treatments or with allergies whichpresentsdiscomfort on a daily basis. The first 3-step program for all skin types.",skin/eye-care/sensitive-intolerant-skin,True,True,prompt_HCP_02
